time,ax,ay,az,atotal
14.159605026245117,-1.02,0.19,-0.13,1.04
14.169570922851562,-0.35,0.14,0.05,0.38
14.179449081420898,-0.76,0.23,0.16,0.81
14.189434051513672,-0.98,0.34,-0.33,1.08
14.199328899383545,-0.86,0.33,0.16,0.93
14.23481798171997,0.08,0.11,-0.01,0.13
14.236310005187988,0.44,-0.17,0.07,0.47
14.237300872802734,0.63,-0.35,0.04,0.72
14.239078044891357,0.35,-0.58,-0.07,0.68
14.24885892868042,0.37,-0.56,0.1,0.67
14.258968830108643,-0.01,-0.43,0.02,0.43
14.26878309249878,0.43,-0.48,-0.06,0.64
14.278770923614502,0.21,-0.26,0.1,0.34
14.288652896881104,-0.05,-0.14,0.04,0.15
14.2986741065979,-0.17,-0.05,0.09,0.19
14.33561086654663,0.23,-0.13,-0.06,0.27
14.337155818939209,0.41,-0.22,-0.05,0.46
14.338129997253418,0.33,-0.19,0.11,0.39
14.33908987045288,0.05,-0.15,0.0,0.15
14.34813904762268,-0.14,-0.14,0.08,0.21
14.358314990997314,-0.44,-0.02,0.03,0.44
14.368183135986328,-0.36,-0.09,-0.01,0.37
14.378188133239746,0.0,-0.21,0.0,0.21
14.38801383972168,0.19,-0.38,0.05,0.42
14.398020029067993,-0.07,-0.25,0.05,0.26
14.435055017471313,-0.01,-0.3,0.04,0.3
14.436037063598633,-0.22,-0.31,0.02,0.38
14.4374361038208,-0.38,-0.3,0.09,0.49
14.438406944274902,-0.32,-0.31,-0.02,0.44
14.447571992874146,-0.52,-0.17,0.02,0.54
14.45762014389038,-0.86,-0.09,0.05,0.86
14.46746301651001,-0.88,0.03,0.02,0.88
14.477399826049805,-0.76,0.06,0.02,0.76
14.487296104431152,-0.79,0.03,0.0,0.79
14.497366905212402,-0.18,0.04,0.02,0.18
14.535290956497192,0.93,-0.27,-0.01,0.96
14.5362229347229,0.58,-0.27,0.08,0.64
14.537596940994263,0.1,-0.18,0.05,0.21
14.538565158843994,-0.64,0.03,0.02,0.64
14.546873092651367,-0.45,-0.09,0.02,0.45
14.556952953338623,0.15,-0.32,0.01,0.35
14.566812992095947,0.46,-0.56,0.04,0.72
14.576857089996338,0.08,-0.55,0.01,0.55
14.587130069732666,-0.17,-0.32,0.06,0.36
14.596743106842041,-0.44,-0.11,0.05,0.45
14.636356830596924,-1.14,0.16,0.02,1.15
14.637881994247437,-1.28,0.23,0.01,1.3
14.6388521194458,-0.47,-0.1,0.03,0.48
14.639806985855103,-0.05,-0.2,0.06,0.21
14.646275997161865,0.53,-0.35,-0.02,0.63
14.656399965286255,0.66,-0.18,0.01,0.68
14.666123867034912,0.49,0.13,0.05,0.5
14.676203966140747,0.35,0.05,0.02,0.35
14.68602204322815,0.2,-0.04,-0.07,0.21
14.696200847625732,-0.03,0.04,0.03,0.05
14.736454963684082,-0.28,0.04,0.04,0.28
14.73776388168335,-0.37,-0.01,0.04,0.37
14.73866891860962,-0.2,-0.08,0.03,0.21
14.739602088928223,-0.2,-0.11,0.02,0.22
14.745575904846191,-0.54,-0.2,0.01,0.57
14.755518913269043,-0.72,-0.27,0.02,0.76
14.76537799835205,-0.66,-0.33,0.02,0.73
14.775485038757324,-0.63,-0.25,0.05,0.67
14.78529405593872,-0.55,-0.18,0.01,0.57
14.795362949371338,-0.28,-0.24,0.02,0.36
14.837356090545654,-0.05,-0.29,0.03,0.29
14.83832311630249,0.0,-0.06,0.07,0.09
14.839308023452759,-0.16,0.1,0.02,0.18
14.840994834899902,-0.02,0.06,0.0,0.06
14.844985961914062,0.02,-0.16,-0.01,0.16
14.854866981506348,-0.06,-0.24,0.08,0.26
14.864849090576172,-0.12,-0.1,0.05,0.16
14.874940872192383,-0.42,0.24,0.03,0.48
14.884819030761719,-0.41,0.23,0.01,0.47
14.894742965698242,-0.2,0.07,0.01,0.21
14.938083171844482,-0.06,-0.01,0.03,0.06
14.93983507156372,-0.01,0.02,0.05,0.05
14.940809965133667,-0.04,0.09,0.03,0.1
14.94175910949707,0.09,-0.08,0.02,0.12
14.94428014755249,0.12,-0.08,0.03,0.14
14.954707145690918,-0.03,-0.06,0.02,0.06
14.964118003845215,-0.13,-0.02,0.02,0.13
14.974210977554321,-0.23,-0.03,0.02,0.23
14.983997821807861,-0.31,-0.06,0.05,0.31
14.99406385421753,-0.31,-0.02,0.01,0.31
15.003958940505981,-0.26,0.02,0.04,0.26
15.03908109664917,-0.21,-0.01,-0.01,0.21
15.040053844451904,-0.17,0.0,-0.05,0.17
15.04099702835083,-0.21,0.13,0.05,0.25
15.04372787475586,-0.29,0.24,0.11,0.39
15.053628921508789,-0.27,0.07,0.0,0.27
15.06355905532837,-0.11,-0.2,0.02,0.22
15.073482036590576,0.03,-0.41,0.05,0.41
15.083542823791504,0.07,-0.42,0.03,0.42
15.122704982757568,-0.05,-0.39,0.0,0.39
15.124253034591675,0.05,-0.48,0.05,0.48
15.125161170959473,0.0,-0.41,0.05,0.41
15.126039981842041,-0.11,-0.2,0.01,0.22
15.133100986480713,-0.17,-0.05,0.07,0.19
15.142970085144043,-0.31,0.1,0.05,0.32
15.15296196937561,-0.42,0.14,-0.04,0.44
15.162949085235596,-0.51,0.19,-0.05,0.54
15.172827005386353,-0.51,0.16,0.14,0.55
15.182821989059448,-0.45,0.05,0.01,0.45
15.223299026489258,-0.37,-0.17,0.01,0.4
15.224770069122314,-0.24,-0.24,0.05,0.34
15.225736141204834,-0.14,-0.2,-0.01,0.24
15.226704120635986,-0.12,-0.24,0.01,0.26
15.23248815536499,-0.15,-0.21,0.04,0.26
15.242283821105957,-0.16,-0.18,0.03,0.24
15.25242805480957,-0.22,-0.12,0.04,0.25
15.26224398612976,-0.22,-0.09,0.03,0.23
15.27232313156128,-0.17,0.0,-0.03,0.17
15.28215503692627,-0.09,0.13,0.03,0.16
15.323405981063843,-0.02,0.17,0.03,0.17
15.324857950210571,-0.04,0.08,0.0,0.08
15.325807094573975,-0.13,-0.11,0.03,0.17
15.327529907226562,-0.18,-0.22,0.02,0.28
15.331818103790283,-0.18,-0.23,0.04,0.29
15.341550827026367,-0.14,-0.19,0.05,0.24
15.351637840270996,-0.18,-0.19,0.01,0.26
15.36174488067627,-0.28,-0.23,0.05,0.36
15.37155294418335,-0.3,0.01,0.08,0.31
15.381517887115479,-0.5,0.05,-0.04,0.5
15.424007892608643,-0.43,0.27,0.05,0.51
15.426394939422607,-0.39,0.38,0.02,0.54
15.427353858947754,-0.27,0.7,0.09,0.75
15.428308963775635,-0.34,0.56,-0.06,0.65
15.431133031845093,-0.11,0.41,0.06,0.42
15.44107699394226,-0.01,0.26,0.11,0.28
15.451025009155273,-0.11,-0.03,-0.14,0.18
15.46097707748413,-0.31,0.05,0.07,0.32
15.470896005630493,-0.45,-0.02,0.02,0.45
15.480772972106934,-0.42,-0.02,0.07,0.42
15.5242919921875,-0.39,0.07,0.01,0.39
15.52669382095337,-0.53,-0.02,0.02,0.53
15.527611017227173,-0.38,0.01,0.02,0.38
15.528496026992798,-0.05,0.32,0.05,0.32
15.53050708770752,0.05,0.27,0.03,0.27
15.540292024612427,0.09,0.15,0.02,0.17
15.5503511428833,-0.05,0.04,-0.01,0.06
15.560312986373901,-0.19,0.03,0.03,0.19
15.570250034332275,0.11,0.44,0.01,0.45
15.580191135406494,0.03,0.38,0.04,0.38
15.625670909881592,-0.04,0.08,0.02,0.09
15.627321004867554,-0.28,-0.28,0.05,0.39
15.628273010253906,-0.18,-0.34,0.04,0.38
15.629222869873047,-0.09,-0.04,0.02,0.1
15.63017201423645,0.12,0.19,-0.06,0.23
15.640078067779541,0.1,0.04,0.05,0.11
15.64965009689331,0.09,0.04,0.02,0.1
15.659724950790405,0.01,0.17,0.05,0.17
15.669615983963013,-0.17,0.32,-0.03,0.36
15.67952299118042,-0.45,0.38,0.05,0.59
15.72369384765625,-0.47,0.47,0.08,0.66
15.727844953536987,-0.42,0.56,-0.05,0.7
15.728821992874146,-0.32,0.52,-0.03,0.61
15.729769945144653,-0.19,0.39,0.06,0.43
15.730695962905884,0.21,0.38,0.02,0.43
15.73906397819519,0.49,0.3,0.06,0.57
15.74906301498413,0.42,0.16,-0.02,0.44
15.758834838867188,0.37,0.02,0.08,0.37
15.768932819366455,0.32,0.0,0.06,0.32
15.77891206741333,0.12,0.01,0.04,0.12
15.788856983184814,-0.11,0.02,0.02,0.11
15.826836109161377,-0.27,0.06,0.03,0.27
15.827792167663574,-0.42,0.2,0.02,0.46
15.828744888305664,-0.55,0.27,0.03,0.61
15.829684972763062,-0.47,0.34,-0.01,0.58
15.838361024856567,-0.36,0.31,0.02,0.47
15.848371982574463,-0.09,0.32,0.12,0.35
15.858214855194092,0.36,0.5,0.01,0.61
15.868265151977539,0.41,0.39,-0.02,0.56
15.878231048583984,0.39,0.19,0.0,0.43
15.888154983520508,0.45,0.1,0.07,0.46
15.92857313156128,0.23,0.08,-0.03,0.24
15.929599046707153,0.11,0.13,0.08,0.18
15.930546998977661,0.03,0.12,0.03,0.12
15.931488990783691,-0.16,0.07,-0.02,0.17
15.937745094299316,-0.4,-0.01,0.06,0.4
15.947793006896973,-0.48,0.03,0.04,0.48
15.957496166229248,-0.6,0.07,0.03,0.6
15.967684030532837,-0.64,0.19,0.0,0.66
15.977560043334961,-0.61,0.31,0.03,0.68
15.987503051757812,-0.56,0.32,0.01,0.64
16.029165029525757,-0.5,0.3,0.04,0.58
16.030118942260742,-0.38,0.31,0.0,0.49
16.031067848205566,-0.42,0.17,-0.01,0.45
16.03200912475586,-0.43,0.07,0.03,0.43
16.035615921020508,-0.43,-0.01,0.01,0.43
16.045618057250977,-0.44,-0.1,0.01,0.45
16.0555739402771,-0.41,-0.16,0.05,0.44
16.06546902656555,-0.27,-0.16,0.01,0.31
16.075402975082397,-0.31,-0.12,0.03,0.33
16.085341930389404,-0.31,-0.13,0.04,0.33
16.129492044448853,-0.08,-0.13,-0.01,0.15
16.130424976348877,0.07,-0.14,-0.07,0.17
16.131381034851074,0.21,-0.08,0.15,0.27
16.13232707977295,0.41,0.02,0.07,0.41
16.134986877441406,0.27,-0.04,-0.15,0.31
16.144887924194336,0.27,0.07,0.16,0.32
16.154973030090332,-0.04,0.15,-0.05,0.16
16.164899826049805,-0.26,0.22,0.05,0.34
16.17480993270874,-0.34,0.25,0.06,0.42
16.18476915359497,-0.15,0.27,0.09,0.32
16.229290008544922,-0.11,0.27,-0.11,0.31
16.230213165283203,0.22,0.33,0.18,0.43
16.231186866760254,0.18,0.2,-0.06,0.27
16.232139110565186,0.12,0.08,0.01,0.14
16.234408855438232,0.1,0.11,0.05,0.15
16.244306087493896,0.11,0.04,-0.07,0.13
16.25432300567627,0.05,0.05,0.11,0.13
16.264364004135132,-0.01,0.07,0.08,0.1
16.274163007736206,0.05,0.05,-0.09,0.11
16.28409695625305,-0.06,0.14,0.0,0.15
16.33031415939331,0.1,0.22,0.15,0.28
16.331294059753418,0.14,0.25,0.05,0.29
16.332214832305908,0.09,0.25,0.03,0.26
16.33306097984314,0.2,0.22,0.03,0.29
16.33476209640503,0.2,0.24,0.02,0.31
16.34366202354431,0.2,0.18,0.04,0.27
16.35365390777588,0.26,0.22,0.02,0.34
16.363544940948486,0.29,0.19,0.02,0.34
16.373525142669678,0.32,0.05,0.02,0.32
16.383442878723145,0.32,-0.02,0.03,0.32
16.43070101737976,0.27,-0.11,0.02,0.29
16.431668043136597,0.23,-0.08,0.05,0.24
16.432601928710938,0.25,0.01,0.02,0.25
16.434348106384277,0.26,0.07,0.03,0.27
16.438907146453857,0.2,0.09,0.03,0.22
16.446025848388672,0.14,0.1,0.03,0.17
16.456915855407715,0.07,0.07,-0.01,0.09
16.46687889099121,0.03,0.07,0.01,0.07
16.47666311264038,0.06,0.06,0.05,0.09
16.486819982528687,0.13,0.07,0.01,0.14
16.531344890594482,0.13,0.06,0.07,0.15
16.532257080078125,0.17,0.12,0.11,0.23
16.5332088470459,-0.02,0.17,-0.12,0.2
16.535742044448853,0.04,0.16,0.08,0.18
16.539381980895996,0.0,0.11,0.01,0.11
16.54554295539856,0.04,0.08,0.21,0.22
16.556169986724854,-0.15,0.01,-0.12,0.19
16.566175937652588,-0.15,-0.04,-0.01,0.15
16.613719940185547,-0.18,-0.08,0.02,0.19
16.6161789894104,-0.07,-0.01,0.03,0.07
16.617125034332275,-0.01,0.12,0.0,0.12
16.618061065673828,-0.02,0.19,0.02,0.19
16.61899185180664,0.13,0.16,0.1,0.22
16.62622904777527,0.21,0.18,0.03,0.27
16.637794971466064,0.26,0.2,0.1,0.34
16.644922971725464,0.3,0.2,0.06,0.36
16.655635833740234,0.28,0.16,-0.18,0.36
16.665647983551025,0.39,0.17,-0.04,0.42
16.71456003189087,0.15,0.17,0.12,0.25
16.716588020324707,0.0,0.11,0.0,0.11
16.717534065246582,-0.16,0.17,0.03,0.23
16.71846914291382,-0.26,0.2,0.11,0.34
16.71940803527832,-0.36,0.16,-0.01,0.39
16.72506284713745,-0.31,0.19,0.03,0.36
16.737028121948242,-0.26,0.24,0.03,0.35
16.744176864624023,-0.22,0.21,0.01,0.3
16.75494384765625,-0.12,0.06,0.02,0.13
16.765049934387207,0.06,-0.11,0.04,0.13
16.774853944778442,0.03,-0.13,0.02,0.13
16.81635284423828,0.11,-0.11,0.04,0.16
16.8173189163208,0.27,-0.07,0.03,0.28
16.818258047103882,0.28,-0.09,0.02,0.29
16.81910514831543,0.28,-0.1,0.02,0.29
16.824445009231567,0.05,0.05,0.01,0.07
16.836383819580078,0.02,0.1,0.02,0.1
16.84374713897705,0.0,0.1,0.01,0.1
16.854212999343872,-0.18,0.22,0.01,0.28
16.864274978637695,-0.31,0.31,0.01,0.43
16.874128818511963,-0.26,0.28,0.09,0.39
16.916665077209473,-0.3,0.25,0.03,0.39
16.91760802268982,-0.34,0.27,0.02,0.43
16.918527126312256,-0.13,0.27,0.14,0.33
16.91942310333252,-0.11,0.23,-0.07,0.26
16.923759937286377,0.03,0.2,-0.03,0.2
16.93611192703247,0.17,0.22,0.08,0.28
